,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
314,"frozenset({'seller_privat', 'abtest_test', 'kilometer_150000'})",frozenset({'offerType_Angebot'}),0.3302,1.0,0.3302,1.0,1.0,0.0,inf
315,"frozenset({'offerType_Angebot', 'abtest_test'})","frozenset({'seller_privat', 'kilometer_150000'})",0.5144,0.64,0.3302,0.6419129082426128,1.0029889191290826,0.0009839999999999849,1.0053420195439742
316,"frozenset({'seller_privat', 'abtest_test'})","frozenset({'offerType_Angebot', 'kilometer_150000'})",0.5144,0.64,0.3302,0.6419129082426128,1.0029889191290826,0.0009839999999999849,1.0053420195439742
317,"frozenset({'abtest_test', 'kilometer_150000'})","frozenset({'offerType_Angebot', 'seller_privat'})",0.3302,1.0,0.3302,1.0,1.0,0.0,inf
318,frozenset({'abtest_test'}),"frozenset({'offerType_Angebot', 'seller_privat', 'kilometer_150000'})",0.5144,0.64,0.3302,0.6419129082426128,1.0029889191290826,0.0009839999999999849,1.0053420195439742
319,"frozenset({'offerType_Angebot', 'seller_privat', 'abtest_test'})",frozenset({'fuelType_benzin'}),0.5144,0.5964,0.3096,0.6018662519440124,1.0091654123809732,0.00281184000000001,1.0137296875
320,"frozenset({'offerType_Angebot', 'abtest_test', 'fuelType_benzin'})",frozenset({'seller_privat'}),0.3096,1.0,0.3096,1.0,1.0,0.0,inf
321,"frozenset({'seller_privat', 'abtest_test', 'fuelType_benzin'})",frozenset({'offerType_Angebot'}),0.3096,1.0,0.3096,1.0,1.0,0.0,inf
322,"frozenset({'offerType_Angebot', 'abtest_test'})","frozenset({'seller_privat', 'fuelType_benzin'})",0.5144,0.5964,0.3096,0.6018662519440124,1.0091654123809732,0.00281184000000001,1.0137296875
323,"frozenset({'seller_privat', 'abtest_test'})","frozenset({'offerType_Angebot', 'fuelType_benzin'})",0.5144,0.5964,0.3096,0.6018662519440124,1.0091654123809732,0.00281184000000001,1.0137296875
324,"frozenset({'abtest_test', 'fuelType_benzin'})","frozenset({'offerType_Angebot', 'seller_privat'})",0.3096,1.0,0.3096,1.0,1.0,0.0,inf
325,frozenset({'abtest_test'}),"frozenset({'offerType_Angebot', 'seller_privat', 'fuelType_benzin'})",0.5144,0.5964,0.3096,0.6018662519440124,1.0091654123809732,0.00281184000000001,1.0137296875
326,"frozenset({'offerType_Angebot', 'seller_privat', 'abtest_test'})",frozenset({'notRepairedDamage_nein'}),0.5144,0.707,0.3632,0.7060653188180406,0.9986779615530985,-0.00048079999999994794,0.9968201058201064
327,"frozenset({'offerType_Angebot', 'abtest_test', 'notRepairedDamage_nein'})",frozenset({'seller_privat'}),0.3632,1.0,0.3632,1.0,1.0,0.0,inf
328,"frozenset({'seller_privat', 'abtest_test', 'notRepairedDamage_nein'})",frozenset({'offerType_Angebot'}),0.3632,1.0,0.3632,1.0,1.0,0.0,inf
329,"frozenset({'offerType_Angebot', 'abtest_test'})","frozenset({'seller_privat', 'notRepairedDamage_nein'})",0.5144,0.707,0.3632,0.7060653188180406,0.9986779615530985,-0.00048079999999994794,0.9968201058201064
330,"frozenset({'seller_privat', 'abtest_test'})","frozenset({'offerType_Angebot', 'notRepairedDamage_nein'})",0.5144,0.707,0.3632,0.7060653188180406,0.9986779615530985,-0.00048079999999994794,0.9968201058201064
331,"frozenset({'abtest_test', 'notRepairedDamage_nein'})","frozenset({'offerType_Angebot', 'seller_privat'})",0.3632,1.0,0.3632,1.0,1.0,0.0,inf
332,frozenset({'abtest_test'}),"frozenset({'offerType_Angebot', 'seller_privat', 'notRepairedDamage_nein'})",0.5144,0.707,0.3632,0.7060653188180406,0.9986779615530985,-0.00048079999999994794,0.9968201058201064
